AUC,AUC_lo,AUC_hi,PR_AUC,PRAUC_lo,PRAUC_hi,F1,F1_lo,F1_hi,feature_set,model,n_features,train_time
0.6835699797160243,0.5022321428571429,0.8458842545638945,0.5335942579279502,0.3538872862597287,0.8118674986107228,0.6666666666666666,0.4704901960784314,0.8148989898989898,BW-binary (145d),RF,145,0.5095891952514648
0.6876267748478702,0.4959386446886447,0.860043050256032,0.623275036262754,0.40490976755544544,0.8500943994343779,0.5641025641025641,0.36351981351981355,0.7307926829268292,BW-binary (145d),Ensemble,145,0.6835083961486816
0.5496957403651116,0.3749519230769231,0.7262599382425383,0.4922265600809839,0.2851941403811993,0.699438804795499,0.2857142857142857,0.07142857142857142,0.5,ESM-2 mean-pool (320d),RF,320,0.7279205322265625
0.6673427991886409,0.48600547066591204,0.8309060899134428,0.625314052991884,0.3943190288741476,0.8289870158712626,0.5454545454545454,0.3125,0.7317073170731707,ESM-2 mean-pool (320d),Ensemble,320,2.3707375526428223
0.6044624746450304,0.4257081653225806,0.7771766513056835,0.47899598772257784,0.3033004929156206,0.7474840196643804,0.32,0.08686594202898551,0.5454545454545454,ESM-2 BW-mean (320d),RF,320,0.5982005596160889
0.6551724137931035,0.47053752535496957,0.825,0.5713293861457259,0.3714633819378874,0.8042115185839914,0.4827586206896552,0.23076923076923078,0.6842481203007519,ESM-2 BW-mean (320d),Ensemble,320,2.2395522594451904
0.6227180527383367,0.42996870160745054,0.8039533995416349,0.6056057747217024,0.3894167093568441,0.7947811132022249,0.38461538461538464,0.1,0.600151515151515,ESM-2 BW-weighted (320d),RF,320,0.597053050994873
0.6308316430020284,0.4270252976190476,0.815486111111111,0.6551649236457211,0.42725547016283355,0.8245380396583376,0.5185185185185185,0.23988235294117646,0.7334210526315789,ESM-2 BW-weighted (320d),Ensemble,320,2.468825340270996
0.6511156186612577,0.4649188311688312,0.8152440476190475,0.6214783580555322,0.39441240044399845,0.8107317482733963,0.45454545454545453,0.13333333333333333,0.6956521739130435,"ESM-2 BW-flat (PCA→50d, 75.6% var)",RF,50,0.5188708305358887
0.6450304259634888,0.4583266129032258,0.8089092681197945,0.613242685914568,0.392519923031881,0.7989992388251479,0.38461538461538464,0.1,0.6153846153846154,"ESM-2 BW-flat (PCA→50d, 75.6% var)",Ensemble,50,0.9872362613677979
0.6795131845841784,0.5103444220430107,0.8312043425324676,0.5347508686317064,0.3281823522353728,0.7632736447341129,0.1111111111111111,0.0,0.3333333333333333,"ESM-2 BW-flat (PCA→100d, 91.4% var)",RF,100,0.6401994228363037
0.6795131845841784,0.4961383928571429,0.8461720226843101,0.6098629104459861,0.37986901586494176,0.819127722969679,0.36363636363636365,0.09090909090909091,0.6,"ESM-2 BW-flat (PCA→100d, 91.4% var)",Ensemble,100,1.2949273586273193
0.6247464503042596,0.44122970779220777,0.7968821310851926,0.5166437073326212,0.3167724499013199,0.7604764364464488,0.37037037037037035,0.09523809523809523,0.5806451612903226,BW-binary + ESM-2 BW-mean (465d),RF,465,0.7308731079101562
0.6774847870182555,0.4969528233985474,0.8492261904761905,0.669392045115561,0.45948796640488404,0.8491680488229799,0.5806451612903226,0.3333333333333333,0.7587027914614121,BW-binary + ESM-2 BW-mean (465d),Ensemble,465,2.181718587875366
0.6227180527383367,0.433708479020979,0.7924101382488478,0.6004817128910576,0.3874227054668723,0.7950263128288754,0.38461538461538464,0.1,0.6,BW-binary + ESM-2 BW-weighted (465d),RF,465,0.7017984390258789
0.665314401622718,0.46661458333333333,0.8412770562770563,0.6864958024740723,0.47948181489939473,0.847088788278895,0.5925925925925926,0.333,0.7826863354037267,BW-binary + ESM-2 BW-weighted (465d),Ensemble,465,2.470228672027588
